id,product_id,ean,slug,title,brand,product,category,abv,abv_numeric,dealcoholized,production_type,verified,dealcoholization_method,method_facet,country,region,style,status,retailers
TDS-0103,TDS-0103,,heineken-0-0,"Heineken 0.0",Heineken,0,beer,0.0%,0,yes,dealcoholized,yes,"Alcohol extracted from the traditional brew using vacuum distillation columns, following a double-brew step with Heineken's A-Yeast (documented by The Process)",vacuum-distillation,,,"Non-alcoholic international pale lager",published,
TDS-0056,TDS-0056,,king-maui-sauvignon-blanc,"King Maui 0% Marlborough Sauvignon Blanc","King Maui","0% Marlborough Sauvignon Blanc",wine,<0.5%,0.5,yes,dealcoholized,yes,"Alcohol removed from Marlborough Sauvignon Blanc (producer markets the range as zero alcohol; the specific technique is not detailed publicly)",unpublished,"New Zealand",Marlborough,"Dealcoholized Marlborough Sauvignon Blanc",published,"Total Wine"
TDS-0007,TDS-0007,0637411001038,giesen-0-riesling,"Giesen 0% Riesling",Giesen,"0% Riesling",wine,<0.5%,0.5,yes,dealcoholized,yes,"Spinning cone technology separating aroma, alcohol and body, then recombining aroma and body without the alcohol",spinning-cone,"New Zealand",Marlborough,"Dealcoholized Marlborough Riesling",published,"Wegmans (Instacart), Total Wine"
TDS-0018,TDS-0018,0637411000956,giesen-0-rose,"Giesen 0% Rosé",Giesen,"0% Rosé",wine,<0.5%,0.5,yes,dealcoholized,yes,"Spinning cone technology — aroma, alcohol, and body separated, then aroma and body recombined",spinning-cone,"New Zealand","Marlborough and Waipara","Dealcoholized New Zealand rosé",published,"Wegmans (Instacart), Total Wine"
TDS-0054,TDS-0054,0637411000819,giesen-0-sauvignon-blanc,"Giesen 0% Sauvignon Blanc",Giesen,"0% Sauvignon Blanc",wine,<0.5%,0.5,yes,dealcoholized,yes,"Spinning cone distillation",spinning-cone,"New Zealand",Marlborough,"Dealcoholized Sauvignon Blanc",published,"Metro Wine & Spirits"
TDS-0011,TDS-0011,8410384053073,freixenet-sparkling-rose,"Freixenet 0,0 Sparkling Rosé",Freixenet,"0,0 Sparkling Rosé",wine,<0.5%,0.05,yes,dealcoholized,yes,"Low-temperature vacuum evaporation, applied after making the wine to full strength",vacuum-distillation,Spain,,"Alcohol-removed sparkling rosé",published,"Metro Wine & Spirits"
TDS-0072,TDS-0072,8410384003023,freixenet-0-0,"Freixenet 0,0 Sparkling White",Freixenet,"0,0 Sparkling White",wine,<0.5%,0.05,yes,dealcoholized,yes,"Low-temperature vacuum evaporation, applied after making the wine to full strength",vacuum-distillation,Spain,Penedès,"Alcohol-removed sparkling white",published,"Metro Wine & Spirits"
TDS-0048,TDS-0048,,grolsch-0-0,"Grolsch 0.0%",Grolsch,0.0%,beer,0.0%,0,no,naturally-low-alcohol,yes,,unpublished,Netherlands,,"Non-alcoholic Dutch pilsner",published,"Upside Drinks"
TDS-0031,TDS-0031,,mionetto-italy-white-wine,"Mionetto Alcohol-Removed Sparkling Wine",Mionetto,"0.0% Alcohol-Removed White",wine,<0.5%,0.5,yes,dealcoholized,yes,"Alcohol expertly extracted after traditional Prosecco-method winemaking (Freixenet Mionetto USA)",unpublished,Italy,Veneto,"Alcohol-removed Italian sparkling white (Prosecco-based)",published,"Harris Teeter (Instacart)"
TDS-0059,TDS-0059,0641586348867,nozeco-brut-rose,"Nozeco Alcohol Free Brut Rosé",Nozeco,"Alcohol Free Brut Rosé",wine,<0.5%,0.5,yes,dealcoholized,yes,"Made from alcohol-removed wine using a state-of-the-art process (producer product sheet)",unpublished,France,,"Dealcoholized sparkling rosé",published,"Total Wine"
