slug,product_id,rating,review_date,updated_date,status,sweetness,body_level,acidity_level,descriptor_ids,method_facet,abv_bucket,wine_color
heineken-0-0,TDS-0103,53,2026-09-18,2026-09-20,published,2,,,"oxidative,toasted_grain",vacuum-distillation,zero,
king-maui-sauvignon-blanc,TDS-0056,79,2026-09-18,2026-09-20,published,,1,3,passionfruit,unpublished,half,white
giesen-0-riesling,TDS-0007,87,2026-09-18,2026-09-20,published,2,1,,"lime,citrus_blossom,mandarin",spinning-cone,half,white
giesen-0-rose,TDS-0018,86,2026-09-18,2026-09-20,published,2,1,3,"white_peach,apple,strawberry",spinning-cone,half,rose
giesen-0-sauvignon-blanc,TDS-0054,85,2026-09-18,2026-09-20,published,,1,3,"grapefruit_pith,passionfruit",spinning-cone,half,white
freixenet-sparkling-rose,TDS-0011,78,2026-09-18,2026-09-20,published,2,,3,"red_berry,citrus",vacuum-distillation,half,sparkling-rose
freixenet-0-0,TDS-0072,79,2026-09-18,2026-09-20,published,2,,,"passionfruit,citrus",vacuum-distillation,half,sparkling
grolsch-0-0,TDS-0048,80,2026-09-18,2026-09-20,published,,,3,fruit,unpublished,zero,
mionetto-italy-white-wine,TDS-0031,79,2026-09-18,2026-09-20,published,2,1,3,"pear,white_peach",unpublished,half,sparkling-rose
nozeco-brut-rose,TDS-0059,76,2026-09-18,2026-09-20,published,,1,,"strawberry,red_berry",unpublished,zero,sparkling-rose
kolonne-null-riesling,TDS-0020,87,2026-09-18,2026-09-20,published,2,1,3,quince,vacuum-distillation,zero,white
chloe-pinot-grigio,TDS-0082,75,2026-09-18,2026-09-20,published,,1,3,"citrus,lemon,lime,green_apple",unpublished,half,white
dr-lo-alcohol-removed-riesling,TDS-0106,86,2026-09-19,2026-09-20,published,2,1,3,"lime_zest,green_apple,slate",vacuum-distillation,half,white
90-cellars-lot-229,TDS-0014,83,2026-09-18,2026-09-20,published,2,,,"strawberry,cranberry,raspberry",reverse-osmosis,half,sparkling-rose
